German,English
rennen,to run
Reise,journey
Rückkehr,return
Richtung,direction
Ruhe,calm
Regen,rain
Rauch,smoke
Rundkreis,circle
Rind,cow
Riese,giant
Rose,rose
Rätsel,riddle
Rezept,recipe
Rucksack,backpack
Regenbogen,rainbow
Rad,bike
Radio,radio
Rathaus,town hall
Raum,room
Regenwald,rainforest
Reich,empire
Ritter,knight
Rot,red
Reichtum,wealth
Rasen,lawn
Ring,ring
Raumstation,space station
Rettung,rescue
Revolver,revolver
Respekt,respect
Riese,giant
Rakete,rocket
Rübe,turnip
Rechnung,bill
Regenschirm,umbrella
Rechtsanwalt,lawyer
Räumung,evacuation
Rente,pension
Rebellion,rebellion
Raffinerie,refinery
